id,comm_time,comp_time,hostname
31,4.71,16.26,xcnc33.comp.nus.edu.sg
32,4.78,16.19,xcnc33.comp.nus.edu.sg
33,7.36,13.62,xcnc33.comp.nus.edu.sg
34,4.99,15.98,xcnc33.comp.nus.edu.sg
35,6.44,14.54,xcnc33.comp.nus.edu.sg
36,7.78,13.2,xcnc33.comp.nus.edu.sg
37,7.71,13.27,xcnc33.comp.nus.edu.sg
38,7.19,13.79,xcnc33.comp.nus.edu.sg
min,4.35,7.06,
mean,6.66307692307692,13.7330769230769,
max,13.42,16.59,
,,,
0,7,12.92,xcnc33.comp.nus.edu.sg
1,6.98,15.61,xcnc33.comp.nus.edu.sg
2,10,12.59,xcnc33.comp.nus.edu.sg
3,9.63,12.96,xcnc33.comp.nus.edu.sg
4,8.79,13.78,xcnc33.comp.nus.edu.sg
5,8.57,14.03,xcnc33.comp.nus.edu.sg
6,8.85,13.75,xcnc33.comp.nus.edu.sg
7,12.98,9.62,xcnc33.comp.nus.edu.sg
8,13.14,9.47,xcnc33.comp.nus.edu.sg
9,10.3,12.3,xcnc33.comp.nus.edu.sg
10,7.8,14.81,xcnc33.comp.nus.edu.sg
11,8.14,14.47,xcnc33.comp.nus.edu.sg
12,8.16,14.46,xcnc33.comp.nus.edu.sg
13,10.62,11.99,xcnc33.comp.nus.edu.sg
14,8.37,14.23,xcnc33.comp.nus.edu.sg
15,7.47,15.15,xcnc33.comp.nus.edu.sg
16,9.12,13.5,xcnc33.comp.nus.edu.sg
17,10.19,12.43,xcnc33.comp.nus.edu.sg
18,7.72,14.9,xcnc33.comp.nus.edu.sg
19,10.04,12.58,xcnc33.comp.nus.edu.sg
20,7.54,15.08,xcnc33.comp.nus.edu.sg
21,8.65,13.97,xcnc33.comp.nus.edu.sg
22,9.33,13.27,xcnc33.comp.nus.edu.sg
23,9.98,12.64,xcnc33.comp.nus.edu.sg
24,7.09,15.54,xcnc33.comp.nus.edu.sg
25,9.62,13.01,xcnc33.comp.nus.edu.sg
26,8.61,14.02,xcnc33.comp.nus.edu.sg
27,9.47,13.16,xcnc33.comp.nus.edu.sg
28,10.17,12.46,xcnc33.comp.nus.edu.sg
29,9.19,13.41,xcnc33.comp.nus.edu.sg
30,14.18,8.45,xcnc33.comp.nus.edu.sg
31,10.61,12.02,xcnc33.comp.nus.edu.sg
32,9.38,13.25,xcnc33.comp.nus.edu.sg
33,13.38,9.25,xcnc33.comp.nus.edu.sg
34,9.39,13.25,xcnc33.comp.nus.edu.sg
35,8.24,14.4,xcnc33.comp.nus.edu.sg
36,8.2,14.44,xcnc33.comp.nus.edu.sg
37,7.28,15.36,xcnc33.comp.nus.edu.sg
38,9.69,12.96,xcnc33.comp.nus.edu.sg
39,8.76,13.89,xcnc33.comp.nus.edu.sg
40,10.3,12.35,xcnc33.comp.nus.edu.sg
41,13.74,8.91,xcnc33.comp.nus.edu.sg
42,9.2,13.45,xcnc33.comp.nus.edu.sg
43,7.85,14.8,xcnc33.comp.nus.edu.sg
44,8.86,13.79,xcnc33.comp.nus.edu.sg
45,9.57,13.05,xcnc33.comp.nus.edu.sg
46,7.91,14.72,xcnc33.comp.nus.edu.sg
min,6.98,8.45,
mean,9.36297872340426,13.2010638297872,
max,14.18,15.61,
,,,
0,7.37,12.65,xcnc33.comp.nus.edu.sg
1,8.39,11.63,xcnc33.comp.nus.edu.sg
2,8.6,11.42,xcnc33.comp.nus.edu.sg
3,9.32,10.72,xcnc33.comp.nus.edu.sg
4,9.78,10.25,xcnc33.comp.nus.edu.sg
5,7.37,13.55,xcnc33.comp.nus.edu.sg
6,8.18,12.75,xcnc33.comp.nus.edu.sg
7,8.83,12.1,xcnc33.comp.nus.edu.sg
8,9.72,11.22,xcnc33.comp.nus.edu.sg
9,8.61,12.32,xcnc33.comp.nus.edu.sg
10,7.41,13.53,xcnc33.comp.nus.edu.sg
11,8.56,12.39,xcnc33.comp.nus.edu.sg
12,8.31,12.64,xcnc33.comp.nus.edu.sg
13,8.37,12.58,xcnc33.comp.nus.edu.sg
14,8.25,12.7,xcnc33.comp.nus.edu.sg
15,9.1,11.86,xcnc33.comp.nus.edu.sg
16,8.27,12.69,xcnc33.comp.nus.edu.sg
17,8.36,12.61,xcnc33.comp.nus.edu.sg
18,9.08,11.89,xcnc33.comp.nus.edu.sg
19,9.23,11.74,xcnc33.comp.nus.edu.sg
20,8.71,12.26,xcnc33.comp.nus.edu.sg
21,9.16,11.82,xcnc33.comp.nus.edu.sg
22,8.2,12.78,xcnc33.comp.nus.edu.sg
23,8.53,12.46,xcnc33.comp.nus.edu.sg
24,7.51,13.48,xcnc33.comp.nus.edu.sg
25,11.2,9.79,xcnc33.comp.nus.edu.sg
26,10.32,10.67,xcnc33.comp.nus.edu.sg
27,9.32,11.67,xcnc33.comp.nus.edu.sg
28,8.72,12.28,xcnc33.comp.nus.edu.sg
29,8.98,12.02,xcnc33.comp.nus.edu.sg
30,7.39,13.79,xcnc33.comp.nus.edu.sg
31,7.91,13.26,xcnc33.comp.nus.edu.sg
32,9.33,11.84,xcnc33.comp.nus.edu.sg
33,9.2,11.98,xcnc33.comp.nus.edu.sg
34,7.46,13.71,xcnc33.comp.nus.edu.sg
35,9.15,12.03,xcnc33.comp.nus.edu.sg
36,8.2,12.97,xcnc33.comp.nus.edu.sg
37,9.4,11.78,xcnc33.comp.nus.edu.sg
38,8.48,12.69,xcnc33.comp.nus.edu.sg
39,8.43,12.75,xcnc33.comp.nus.edu.sg
40,11.1,10.09,xcnc33.comp.nus.edu.sg
41,7.87,13.32,xcnc33.comp.nus.edu.sg
42,8.6,12.58,xcnc33.comp.nus.edu.sg
43,7.78,13.41,xcnc33.comp.nus.edu.sg
44,9.04,12.15,xcnc33.comp.nus.edu.sg
45,8.71,12.49,xcnc33.comp.nus.edu.sg
46,8.5,12.69,xcnc33.comp.nus.edu.sg
47,9.19,12,xcnc33.comp.nus.edu.sg
48,8.82,12.38,xcnc33.comp.nus.edu.sg
49,8.62,12.57,xcnc33.comp.nus.edu.sg
50,8.94,12.25,xcnc33.comp.nus.edu.sg
51,8.07,13.13,xcnc33.comp.nus.edu.sg
52,8.18,13.02,xcnc33.comp.nus.edu.sg
53,9.43,11.77,xcnc33.comp.nus.edu.sg
54,8.32,12.88,xcnc33.comp.nus.edu.sg
min,7.37,9.79,
mean,8.68872727272727,12.2909090909091,
max,11.2,13.79,
,,,
0,66.31,16.23,xcnc33.comp.nus.edu.sg
1,66.43,16.11,xcnc33.comp.nus.edu.sg
2,68.62,13.93,xcnc33.comp.nus.edu.sg
3,69.56,12.99,xcnc33.comp.nus.edu.sg
4,69.39,13.16,xcnc33.comp.nus.edu.sg
5,69.53,13.03,xcnc33.comp.nus.edu.sg
6,68.97,13.6,xcnc33.comp.nus.edu.sg
7,68.42,14.16,xcnc33.comp.nus.edu.sg
8,67.36,15.22,xcnc33.comp.nus.edu.sg
9,67.03,15.55,xcnc33.comp.nus.edu.sg
10,66.35,16.24,xcnc33.comp.nus.edu.sg
11,68.43,14.16,xcnc33.comp.nus.edu.sg
12,66.32,16.44,xcnc33.comp.nus.edu.sg
13,67.31,15.45,xcnc33.comp.nus.edu.sg
14,66.69,16.07,xcnc33.comp.nus.edu.sg
15,67.35,15.42,xcnc33.comp.nus.edu.sg
16,67.59,15.18,xcnc33.comp.nus.edu.sg
17,66.34,17.69,xcnc33.comp.nus.edu.sg
18,68.76,15.26,xcnc33.comp.nus.edu.sg
19,69.78,14.25,xcnc33.comp.nus.edu.sg
20,68.84,15.19,xcnc33.comp.nus.edu.sg
21,68.63,15.41,xcnc33.comp.nus.edu.sg
22,69.16,14.87,xcnc33.comp.nus.edu.sg
23,71.76,12.28,xcnc33.comp.nus.edu.sg
24,70.72,13.33,xcnc33.comp.nus.edu.sg
25,71.61,12.45,xcnc33.comp.nus.edu.sg
26,70.26,13.8,xcnc33.comp.nus.edu.sg
27,69.29,14.77,xcnc33.comp.nus.edu.sg
28,70.14,13.93,xcnc33.comp.nus.edu.sg
29,68.9,15.17,xcnc33.comp.nus.edu.sg
30,69.22,14.85,xcnc33.comp.nus.edu.sg
31,68.38,15.7,xcnc33.comp.nus.edu.sg
32,71.54,12.54,xcnc33.comp.nus.edu.sg
33,70.51,13.58,xcnc33.comp.nus.edu.sg
34,71.81,12.29,xcnc33.comp.nus.edu.sg
35,69.98,14.11,xcnc33.comp.nus.edu.sg
36,68.73,15.37,xcnc33.comp.nus.edu.sg
37,71.1,13,xcnc33.comp.nus.edu.sg
38,68.94,15.17,xcnc33.comp.nus.edu.sg
39,69.76,14.35,xcnc33.comp.nus.edu.sg
40,71.53,12.59,xcnc33.comp.nus.edu.sg
41,69.85,14.26,xcnc33.comp.nus.edu.sg
