, 2, 12, 20, 32,
130000000, 13.5752,20.0784,24.2674,9.1722,
169000000, 17.5903,22.3284,15.1447,10.6454,
219700000, 19.6347,28.0686,18.4872,13.0157, 
285610000, 24.4672,35.8063,23.2825,15.7829,
371293000, 31.1188,45.8255,29.1467,19.5197,
482680900, 40.8180,59.2689,37.0011,24.4762,
627485170, 50.3636,76.2440,47.4202,31.4674,
