, 2, 12, 20, 32,
130000000, 13.1434,17.7095,12.3755,9.0847,
169000000, 16.0292,22.1078,14.9157,10.6886,
219700000, 19.8275,28.0924,19.2598,12.9747,
285610000, 24.3998,35.9577,23.6726,16.4224,
371293000, 30.9956,45.7524,29.2347,19.5274,
482680900, 39.3955,58.8597,37.0579,24.4730,
627485170, 50.2655,75.8228,47.7136,30.8947,
