, 2, 12, 20, 32,
130000000, 13.0722,17.8990,12.1319,9.5814,
169000000, 16.0174,22.1409,15.3965,10.6248,
219700000, 19.8333,28.0692,18.7710,13.0480,
285610000, 24.6846,35.7817,23.3889,15.7174,
371293000, 30.8897,45.7792,29.1441,19.6268,
482680900, 39.3274,58.8542,37.1660,24.4336,
627485170, 50.5647,75.9215,47.4136,30.8495,
