, 2, 4, 6, 8, 10, 12, 14
100000000, 0.4755,0.2569,0.1795,0.1428,0.1289,0.1125,0.1483,
200000000, 0.9144,0.4758,0.3258,0.2562,0.2173,0.1834,0.2541,
300000000, 1.2771,0.6955,0.4760,0.3701,0.3049,0.2969,0.3555,
400000000, 1.5605,0.8575,0.6267,0.4757,0.3887,0.3302,0.4478,
500000000, 1.8830,1.0312,0.7569,0.5818,0.4757,0.4036,0.5247,
600000000, 2.1833,1.2065,0.8688,0.6903,0.5640,0.5161,0.6182,
700000000, 2.5161,1.3979,0.9818,0.7742,0.6511,0.5495,0.7053,
800000000, 2.8377,1.5253,1.1128,0.8680,0.7342,0.8074,0.7771,
900000000, 3.1631,1.6987,1.2417,0.9680,0.8036,0.7272,0.8370,
1000000000, 3.3444,1.8523,1.3468,1.0629,0.8813,0.9320,0.9060,
