Partition Size, Num Processes, Integral Value, Time (s)
100000000, 1, 3.1415926535904264, 18.3533
100000000, 2, 3.1415926535900223, 10.8555
100000000, 3, 3.1415926535901537, 8.2843
100000000, 4, 3.1415926535902168, 37.6256
100000000, 5, 3.1415926535896439, 30.4610
100000000, 6, 3.1415926535896723, 25.7557
100000000, 7, 3.1415926535896643, 22.4067
100000000, 8, 3.1415926535896137, 19.9300
100000000, 9, 3.1415926535897531, 17.9469
100000000, 10, 3.1415926535897452, 16.4124
100000000, 11, 3.1415926535897376, 15.1353
100000000, 12, 3.1415926535897389, 14.0775
100000000, 13, 3.1415926535897492, 13.1599
100000000, 14, 3.1415926535897487, 12.4663
100000000, 15, 3.1415926535897460, 11.7596
100000000, 16, 3.1415926535897749, 11.1785
100000000, 17, 3.1415926535897309, 10.6423
100000000, 18, 3.1415926535897443, 10.1924
100000000, 19, 3.1415926535897452, 9.7785
100000000, 20, 3.1415926535897505, 10.0617
100000000, 21, 3.1415926535897531, 9.8154
100000000, 22, 3.1415926535897594, 9.6151
100000000, 23, 3.1415926535897594, 9.3166
100000000, 24, 3.1415926535897540, 9.0585
100000000, 25, 3.1415926535897514, 8.9448
100000000, 26, 3.1415926535897531, 8.6447
100000000, 27, 3.1415926535897505, 8.4078
100000000, 28, 3.1415926535897492, 8.3384
100000000, 29, 3.1415926535897540, 8.0068
100000000, 30, 3.1415926535897603, 7.8166
100000000, 31, 3.1415926535897682, 7.8447
100000000, 32, 3.1415926535897736, 7.7285
